glottocode,isocode
aari1238,aiz
aari1239,aiw
aari1240,aay
aasa1238,aas
abad1241,kbt
abag1245,abg
abai1240,abf
aban1242,abm
abar1238,mij
abau1245,aau
abaz1241,abq
abee1242,aba
aben1249,abp
abid1235,abi
abin1243,bsa
abip1241,axb
abis1238,ash
abkh1244,abk
abom1238,aob
abon1238,abo
abro1238,abr
abua1244,abn
abua1245,aah
abui1241,abz
abun1252,kgr
abur1243,abu
abur1244,mgj
abuu1241,ado
acat1239,tpx
acha1249,acn
acha1250,aca
ache1244,yif
ache1245,acz
ache1246,guq
achi1256,acr
achi1257,ace
achi1258,acc
acht1238,act
achu1247,acv
achu1248,acu
acol1236,ach
acro1239,acs
adab1235,adb
adai1235,xad
adam1238,ads
adam1253,fub
adan1247,ada
adan1248,adq
adan1251,adn
adap1234,adp
adas1235,tiu
adel1244,ade
adho1243,adh
adio1239,adj
adiv1239,ort
adiw1235,gas
adny1235,adt
adon1237,adr
adug1238,adu
adyg1241,ady
adze1240,adz
adze1241,azr
aeka1244,aez
aeky1238,awi
aerr1238,aeq
afad1236,aal
afar1241,aar
afgh1239,afg
afit1238,aft
afri1274,afr
afri1275,afh
afro1254,afs
agar1251,agi
agar1252,agd
agat1236,agc
agav1236,avo
aghe1239,agq
aghu1253,agx
aghu1254,ggr
aghu1255,ahh
aghu1256,gtu
aghw1237,xag
agii1245,aif
agob1244,kit
agoi1246,ibm
agta1234,apf
agua1251,aga
agua1252,agu
agua1253,agr
agun1238,aug
agus1235,msm
agut1237,agn
agwa1247,yay
ahan1243,aha
ahan1244,ahn
ahea1240,ahe
aher1237,esg
aheu1239,thm
ahin1234,kak
ahir1243,ahr
ahom1240,aho
ahte1237,aht
ahwa1235,nfd
aich1238,aih
aigh1235,aix
aika1237,tba
aikl1237,mwg
aiku1240,mzf
aima1241,aiq
aime1238,ail
aimo1244,aim
ainb1238,aic
ainu1240,ain
ainu1251,aib
aiom1240,aki
airo1242,air
aito1238,aio
ajab1235,ajg
ajas1235,aja
ajaw1236,ajw
ajie1238,aji
ajyi1238,cpc
akaa1242,soh
akab1248,akm
akab1249,abj
akac1240,aci
akaj1239,akj
akak1251,ack
akak1252,akx
akak1253,aky
akan1250,aka
akar1243,acl
akas1242,aks
