,Unnamed: 0,name,macroarea,latitude,longitude,glottocode,countries,family_id,lineage,level,category,aes
0,0,Fulniô,South America,-9.02591,-37.1402,fuln1247,BR,,,language,Spoken_L1_Language,Shifting
1,1,Dem,Papunesia,-3.72183,137.632,demm1245,ID,,,language,Spoken_L1_Language,Shifting
2,2,Mixe-Zoque,,16.99190245384724,-94.20790659990188,mixe1284,,,,family,Family,no status
3,3,Mure,South America,-13.636709,-62.2020909,mure1235,BO,,,language,Spoken_L1_Language,Extinct
4,4,North Halmahera,,0.7726235182356925,127.6567781247746,nort2923,,,,family,Family,no status
5,5,Tonkawa,North America,30.25,-96.75,tonk1249,US,,,language,Spoken_L1_Language,Extinct
6,6,Otomaco-Taparita,South America,7.869912,-70.997315,otom1276,VE,,,family,Family,Extinct
7,7,Klamath-Modoc,North America,42.5861,-121.704,klam1254,US,,,language,Spoken_L1_Language,Extinct
8,8,Fasu,Papunesia,-6.62687,143.284,fasu1242,PG,,,language,Spoken_L1_Language,Shifting
9,9,Chibchan,,12.511542059000078,-81.72370357999995,chib1249,,,,family,Family,no status
10,10,Nimboranic,,-2.578156875,140.2446875,nimb1257,,,,family,Family,no status
11,11,Atakapa,North America,30.9121,-93.0827,atak1252,US,,,language,Spoken_L1_Language,Extinct
12,12,Natchez,North America,31.75,-91.33,natc1249,US,,,language,Spoken_L1_Language,Extinct
13,13,Turkic,,49.91702596265687,60.68987607174649,turk1311,,,,family,Family,no status
14,14,Mombum-Koneraw,,-8.322825,138.42025,momb1255,,,,family,Family,no status
15,15,Saharan,,15.684947833333332,19.429382666666665,saha1256,,,,family,Family,no status
16,16,Camsá,South America,1.14537,-76.8931,cams1241,CO,,,language,Spoken_L1_Language,Shifting
17,17,Surmic,,6.881998770833333,34.97338345833333,surm1244,,,,family,Family,no status
18,18,Fuyug,Papunesia,-8.6371,147.312,fuyu1242,PG,,goil1242,language,Spoken_L1_Language,Not Endangered
19,19,Mimi-Gaudefroy,Africa,13.827507,21.11324,mimi1240,TD,,,language,Spoken_L1_Language,Extinct
20,20,Atacame,South America,0.834931,-79.778137,atac1235,EC,,,language,Spoken_L1_Language,Extinct
21,21,Amto-Musan,,-4.087384999999999,141.3795,amto1249,,,,family,Family,no status
22,22,Ijoid,,4.703427765911557,6.938100510545368,ijoi1239,,,,family,Family,no status
23,23,Muniche,South America,-5.7441796,-76.426712,muni1258,PE,,,language,Spoken_L1_Language,Extinct
24,24,Trumai,South America,-11.8119,-53.5717,trum1247,BR,,,language,Spoken_L1_Language,Nearly Extinct
25,25,Comecrudan,North America,26.1333,-98.4667,come1251,MX,,,language,Spoken_L1_Language,Extinct
