,glottocode,name,region,AES,EGIDS,L1_pop,L1_pop_prop,documentation,area
0,ghot1243,Ghotuo,Western Africa,not endangered,6a,9000,29.36212708,basic,227.0555293
1,alum1246,Alumu-Tesu,Western Africa,not endangered,6a,7000,40.0090138,little or none,39.49597832
2,arii1243,Ari,Oceania,moribund,6b,50,33.94753452,little or none,1102.240604
3,amal1242,Amal,Oceania,shifting,6a,830,107.9089535,little or none,63.46062922
4,arbe1236,Arbëreshë Albanian,Europe,threatened,6b,100000,1012.121847,detailed,591.8280621
5,aran1261,Aranadan,Southern Asia,shifting,6b,200,0.222047953,little or none,70.35875753
6,ambr1239,Ambrak,Oceania,threatened,6a,290,15.09704043,little or none,44.31627387
7,arif1239,Arifama-Miniafia,Oceania,shifting,5,3470,383.6891767,basic,141.1149373
8,anka1246,Ankave,Oceania,not endangered,5,1600,112.5227511,basic,205.0679028
9,afad1236,Afade,Western Africa,threatened,6b,5000,21.77995306,basic,1520.064863
10,anam1249,Anambé,South America,extinct,8b,6,0.163089873,detailed,529.755437
11,para1310,Pará Arára,South America,threatened,6a,340,89.2708169,detailed,5368.268629
12,east2544,Eastern Abenaki,Northern America,extinct,9,1800,178.6320397,basic,51994.69699
13,afar1241,Afar,Africa,not endangered,2,1379200,113735.7356,detailed,133871.0707
14,aasa1238,Aasax,Africa,extinct,8b,350,16.65354562,little or none,812.6089533
15,arva1236,Arvanitika Albanian,Europe,threatened,7,50000,95.77257253,detailed,8698.048991
16,abau1245,Abau,South-Eastern Asia,shifting,5,7270,1133.768942,detailed,2200.578803
17,solo1258,Solong,Oceania,not endangered,4,2200,357.5630871,little or none,1002.856973
18,mand1444,Mandobo Atas,South-Eastern Asia,not endangered,6a,10000,2116.843633,basic,4123.064614
19,amar1273,Amarasi,South-Eastern Asia,threatened,5,70000,393.5646614,basic,796.5878631
20,abee1242,Abé,Western Africa,not endangered,5,170000,1835.530179,detailed,4217.068936
21,bank1256,Bankon,Africa,threatened,6b,12000,30.20209469,detailed,419.5082335
22,amba1267,Ambala Ayta,South-Eastern Asia,threatened,6a,1660,2.477557685,little or none,75.12178619
23,cama1250,Camarines Norte Agta,South-Eastern Asia,threatened,6a,3800,15.95310598,basic,21.47350494
24,west2630,Western Abenaki,Northern America,nearly extinct,8b,14,0.32856782,basic,29642.961
25,abai1240,Abai Sungai,South-Eastern Asia,shifting,7,0,0.0,little or none,54.79749181
26,abag1245,Abaga,Oceania,nearly extinct,8b,5,0.077983848,little or none,1.045075959
27,abid1235,Abidji,Western Africa,not endangered,5,50500,503.5295193,detailed,1125.248906
28,akab1249,Akabea,Southern Asia,extinct,10,0,0.0,basic,155.0250565
29,abkh1244,Abkhazian,Arab,threatened,2,105000,3363.641012,detailed,1847.401115
30,lamp1242,Lampung Nyo,South-Eastern Asia,not endangered,6a,180000,945.4555626,basic,1825.780868
31,aban1242,Abanyom,Western Africa,not endangered,6a,12500,64.03387351,little or none,214.5903105
32,abua1244,Abua,Western Africa,not endangered,6a,25000,37.04229337,basic,432.0696617
33,abon1238,Abon,Western Africa,threatened,6a,1000,19.01353063,little or none,85.01526441
34,aben1249,Abenlen Ayta,South-Eastern Asia,shifting,5,3000,7.727190426,basic,118.6165102
35,abaz1241,Abaza,Europe,threatened,5,37800,637.9359002,detailed,684.9156414
36,abro1238,Abron,Western Africa,not endangered,5,1183000,10270.96504,basic,14625.38211
37,ambu1247,Ambulas,Oceania,threatened,5,44000,1552.65042,detailed,1154.190211
38,abur1243,Abure,Western Africa,not endangered,6a,55100,63.16315561,basic,1185.014848
39,pall1244,Pal,Oceania,not endangered,6a,1160,41.37060455,little or none,254.6516674
40,inab1237,Inabaknon,South-Eastern Asia,not endangered,4,26400,109.5395436,basic,35.88381396
41,anem1248,Aneme Wake,Oceania,not endangered,5,650,73.88774913,basic,1243.6425
42,abui1241,Abui,South-Eastern Asia,shifting,6a,16000,215.5337435,detailed,627.2398512
43,acha1250,Achagua,South America,shifting,6b,250,41.03893314,detailed,3413.503013
44,giky1238,Gikyode,Western Africa,not endangered,5,10400,154.0269632,basic,804.5338761
45,achi1257,Acehnese,South-Eastern Asia,threatened,6b,3500000,35411.01422,detailed,17655.56414
46,acol1236,Acoli,Africa,not endangered,5,1197000,13802.27921,detailed,32136.11582
47,akac1240,Akacari,Southern Asia,extinct,10,0,0.0,basic,472.4909205
48,akak1251,Akakora,Southern Asia,extinct,10,0,0.0,basic,632.7555896
49,akar1243,Akarbale,Southern Asia,extinct,10,0,0.0,basic,347.8295353
50,acha1249,Longchuan Achang,Asia,shifting,7,62700,682.1048496,detailed,1531.878702
51,east2403,Eastern Acipa,Western Africa,not endangered,6a,5000,75.68022006,little or none,1524.882284
52,achi1256,Achi,Central America,threatened,5,85600,263.0081547,detailed,2853.15555
53,acro1239,Acroá,South America,extinct,10,0,0.0,little or none,37554.49315
54,achu1248,Achuar-Shiwiar,South America,shifting,5,7000,2011.867903,detailed,21385.57912
55,achu1247,Achumawi,Northern America,nearly extinct,8b,10,8.50325511,basic,632.0299609
56,ache1245,Acheron,Arab,threatened,5,9830,1167.410098,basic,47.17661502
57,adan1247,Adangme,Western Africa,not endangered,4,800000,2592.03573,basic,4567.11343
58,dzod1238,Dzodinka,Western Africa,not endangered,6a,2600,33.694625,basic,124.0185645
59,adel1244,Adele,Western Africa,not endangered,5,27300,395.3176719,basic,1382.427533
60,ande1247,Andegerebinha,Australia and New Zealand,nearly extinct,8b,10,3290.613387,basic,19640.57309
61,adho1243,Adhola,Africa,not endangered,5,360000,617.4773182,basic,895.3935423
62,bori1243,Bori-Karko,Southern Asia,not endangered,5,98090,7737.727427,detailed,24567.94016
63,adio1239,Adioukrou,Western Africa,not endangered,5,100000,171.7520212,detailed,1440.332994
64,galo1242,Galo,Southern Asia,threatened,5,30000,736.7532525,detailed,3730.907278
65,adan1251,Adang,South-Eastern Asia,shifting,6b,3000,40.4125769,detailed,71.18014492
66,abuu1241,Abu,Oceania,shifting,6a,4200,354.0044587,little or none,1115.906642
67,adan1248,Adangbe,Western Africa,threatened,6b,2200,8.85787063,basic,622.1514933
68,adon1237,Adonara,South-Eastern Asia,not endangered,6a,98000,692.8439424,basic,589.4238099
69,adny1235,Adnyamathanha,Australia and New Zealand,shifting,8b,110,1563.063387,basic,12961.26958
70,amun1246,Amundava,South America,threatened,6b,83,13.91712385,little or none,2112.604267
71,amdo1237,Amdo Tibetan,Asia,not endangered,6a,1800000,165060.8888,detailed,287019.2073
72,adyg1241,Adyghe,Europe,threatened,2,467800,2832.688989,detailed,2947.480151
73,adze1240,Adzera,Oceania,threatened,4,30000,996.5019174,basic,1708.479745
74,areb1238,Areba,Australia and New Zealand,nearly extinct,10,0,0.0,little or none,20055.97626
75,nort2666,Northeast Pashayi,Southern Asia,threatened,6a,54400,278.5003667,basic,294.619786
76,haek1239,Haeke,Oceania,moribund,8b,300,57.84586431,basic,48.78164374
77,ambe1247,Ambele,Africa,threatened,6a,2600,28.92995369,basic,250.2873751
78,arem1240,Arem,South-Eastern Asia,nearly extinct,8b,40,0.415943744,basic,232.9548419
79,aerr1238,Aer,Southern Asia,shifting,6b,100,0.446906314,little or none,0.137073262
80,east2379,Eastern Arrernte,Australia and New Zealand,shifting,4,2380,94345.75848,detailed,32665.47781
81,akeu1235,Akeu,South-Eastern Asia,shifting,7,11400,153.4103848,basic,4732.72409
82,amba1269,Ambakich,Oceania,shifting,7,770,80.63767109,little or none,661.7813748
83,amel1241,Amele,Oceania,threatened,6b,5300,164.0106501,detailed,129.6832588
84,aeka1244,Aeka,Oceania,not endangered,5,3400,335.4001525,little or none,479.1665939
85,anda1283,Andai,Oceania,shifting,6a,400,23.05594526,little or none,555.9396543
86,putu1241,Putukwam,Western Africa,not endangered,6a,70000,330.0749322,little or none,243.7237909
87,akru1241,Chini,Oceania,moribund,7,75,5.174484653,basic,65.35287952
88,nanu1240,Nanubae,Oceania,shifting,6a,1270,148.8724747,little or none,144.5057981
89,defa1248,Defaka,Western Africa,moribund,8b,200,0.17703534,basic,0.01163082
90,eloy1241,Eloyi,Western Africa,not endangered,6a,25000,328.1124403,little or none,1959.12415
91,tape1242,Tapei,Oceania,shifting,6a,290,25.97393105,little or none,87.1993658
92,afri1274,Afrikaans,Africa,not endangered,1,6969900,498796.6987,detailed,804028.506
93,afit1238,Afitti,Arab,shifting,6b,4510,137.645603,basic,210.7804798
94,awut1241,Awutu,Western Africa,shifting,5,180000,185.4600516,basic,677.8663654
95,obok1239,Obokuitai,South-Eastern Asia,shifting,6b,120,12.15125523,basic,529.873644
96,legb1242,Legbo,Western Africa,not endangered,6a,60000,139.1382473,basic,160.9903752
97,agat1236,Agatu,Western Africa,not endangered,6a,70000,625.4568816,little or none,3863.452881
98,agar1252,Agarabi,Oceania,not endangered,5,27000,589.7463427,basic,524.6929993
99,anga1293,Angal,Oceania,not endangered,5,18600,267.7589662,basic,428.7335382
100,argu1237,Arguni,South-Eastern Asia,shifting,6b,150,18.60008587,little or none,3.009544341
101,ango1254,Angor,Oceania,shifting,5,1270,192.2646319,detailed,219.4425312
102,ngel1238,Ngelima,Africa,not endangered,6a,13600,911.3404245,basic,19305.80534
103,argo1244,Argobba,Africa,threatened,4,43700,295.0281536,detailed,696.1786971
104,isar1235,Isarog Agta,South-Eastern Asia,nearly extinct,8b,5,0.009900135,little or none,85.15415824
105,femb1238,Fembe,Oceania,shifting,6a,350,20.27442065,little or none,567.1146596
106,anga1290,Angaataha,Oceania,not endangered,5,2100,110.5296027,basic,536.0158622
107,agut1237,Agutaynen,South-Eastern Asia,not endangered,5,15000,218.6995004,basic,213.3680521
108,tain1253,Tainae,Oceania,not endangered,6a,1000,95.67278707,detailed,1002.628524
109,aghe1239,Aghem,Africa,not endangered,5,26700,231.9677426,detailed,184.8619647
110,agua1253,Aguaruna,South America,threatened,4,38300,4479.635092,detailed,33309.92448
111,esim1238,Esimbi,Western Africa,not endangered,6a,20000,244.3808434,basic,860.7969833
112,cent2084,Central Cagayan Agta,South-Eastern Asia,shifting,5,780,5.176179733,basic,244.0903272
113,agua1252,Aguacateco,Central America,threatened,4,18000,64.33037016,basic,281.8824847
114,remo1247,Hatang Kayi,South-Eastern Asia,moribund,8a,2530,0.840561368,basic,1006.160101
115,kahu1241,Kahua,Oceania,not endangered,5,5170,548.9901195,little or none,440.6759596
116,aghu1253,Aghul,Europe,shifting,6a,29300,669.2257681,basic,532.9881666
117,sout2905,Southern Alta,South-Eastern Asia,shifting,6a,1000,0.751903128,little or none,100.7531377
118,mtir1235,Mt. Iriga Agta,South-Eastern Asia,threatened,6a,1500,2.692087992,little or none,190.346852
